asset,sell_count,buy_count,sell_avg_price,buy_avg_price
USDT,3893,2686.0,0.9843246853326484,1.0544240506329114
BUSD,884,214.0,0.96235407239819,1.094378504672897
BTC,581,194.0,15710.938416523237,21881.134381443302
ETH,415,81.0,1152.696265060241,1666.3486419753085
BNB,388,62.0,270.4044329896907,392.1783870967742
DOGE,16,,0.078125,
XRP,9,,0.3655555555555556,
